1:9,4,5,7,1,8,2,4,5,9,2,6,4,4,9,2,5,6,6,6,4,2,2,1,6,7,4,5,5,8
2:4,5,2,9,5,7,5,8,5,9,8,9,1,2,1,7,1,9,6,9,8,6,7,6,8,5,8,8,9,7
3:7,3,7,2,9,5,9,3,8,7,1,8,8,7,1,9,3,8,9,8,2,7,4,4,7,7,4,6,3,4
4:9,9,9,3,4,4,3,1,7,1,5,9,4,9,8,6,1,9,9,5,5,3,1,3,9,1,2,9,7,9
5:7,3,3,2,4,8,2,4,8,9,3,5,9,5,5,2,7,9,8,4,7,7,8,2,7,4,2,6,3,3
6:5,8,4,6,1,1,3,7,7,2,9,3,7,2,9,6,7,4,8,9,9,8,6,3,2,7,5,4,9,1
7:7,4,3,6,6,5,7,1,4,6,2,7,4,6,6,4,8,6,1,9,5,1,9,8,4,9,3,7,7,2
8:7,6,3,4,7,1,5,2,8,3,6,2,5,2,1,4,4,3,1,8,8,9,4,4,1,5,4,9,8,3
9:3,3,1,5,1,5,1,4,7,5,8,3,1,9,5,4,1,5,5,2,7,2,9,1,9,3,6,5,5,5
10:7,6,3,4,7,1,5,2,8,3,6,2,5,2,1,4,4,3,1,8,8,9,4,4,6,5,4,9,8,3
11:3,5,5,9,6,9,3,1,2,7,3,3,1,4,3,2,2,8,5,9,7,6,1,3,4,6,6,7,3,6
12:1,6,2,3,6,9,8,7,2,1,7,3,7,5,6,5,8,1,1,3,3,2,8,1,2,9,6,2,7,9
13:8,6,6,8,7,5,4,2,8,6,5,8,5,3,6,7,6,6,3,9,2,8,7,4,6,5,7,9,7,5
14:8,7,1,4,4,6,3,7,2,2,6,4,3,8,6,1,3,2,1,5,7,3,2,5,9,5,5,2,1,1
15:3,9,4,9,7,3,4,2,6,8,3,5,5,3,4,4,7,1,5,8,2,7,4,5,7,6,5,1,7,1
16:7,3,7,2,9,5,9,3,8,7,1,8,8,7,1,9,3,8,9,8,2,7,4,4,7,7,4,6,3,1
17:7,9,6,6,7,5,4,6,4,2,3,8,2,3,2,9,6,8,5,2,9,9,3,9,3,3,9,1,9,7
18:1,2,6,4,9,4,4,6,8,2,6,5,5,5,4,7,1,4,3,9,8,5,9,6,6,2,4,9,8,6
19:5,2,6,3,5,9,2,8,4,4,9,8,5,5,8,8,2,4,9,3,5,8,1,8,5,1,3,3,8,4
20:4,7,6,6,6,6,1,2,9,4,4,5,4,8,9,6,7,3,3,7,2,2,3,9,5,6,2,9,8,6
21:1,6,1,3,6,9,8,7,2,1,7,3,7,5,6,5,8,1,1,3,3,2,8,1,2,9,6,2,7,8
22:7,4,9,9,7,9,8,3,2,7,2,5,9,2,7,5,8,3,6,4,2,2,1,9,3,2,4,1,9,6
23:3,5,9,8,3,8,8,9,5,9,7,6,8,2,2,2,5,4,4,9,3,5,1,1,7,7,2,8,4,6
24:5,5,5,9,6,9,3,1,2,7,3,3,1,4,3,2,2,8,5,9,7,6,1,3,4,6,6,7,3,8
25:5,3,8,6,5,3,1,8,1,7,3,4,4,2,9,6,8,1,8,6,5,2,8,7,7,8,7,8,4,4
26:3,3,9,9,9,1,2,3,2,5,8,5,6,3,1,9,8,7,5,7,9,5,1,3,4,7,1,1,3,5
27:9,7,6,2,4,3,3,2,5,8,4,6,6,9,1,1,2,7,7,5,8,7,5,5,1,7,9,6,8,9
28:7,6,7,2,6,8,7,4,1,6,7,6,3,3,3,8,4,1,9,7,1,1,9,2,3,2,8,9,5,5
29:3,1,9,1,6,7,5,2,5,2,5,2,1,9,6,6,6,9,1,8,4,5,9,8,5,8,1,7,2,2
