7719:rrRRrr gGGGGg bBBbBb
3730:RRrRrr GGGGgg bBbBBb
3342:RrRRRr GGggGg bBBbbb
4553:rrrRRR GGGggG bBBbBB
5871:rRrrRr ggggGG bbBBBb
2917:rRrRrr gggGgG BBbBBB
9467:RRrRRr GGGgGg BBBbBB
3811:rrrrRR gGGGgG bbbbBB
9866:RrRRrR GGgGGg BBBBBB
6092:RRRrrR GGGgGg bbbbBb
6813:rrrRrr GGgGgg bbBBBb
2999:RrrRrr GGGGGg bbbBbB
2469:rRrrrR GGGGgG bbbbbB
4531:rrRrRR GggGGG bbBBBB
9055:rrRrrR gggGGg bBBBbb
5374:RrRrRR gGgGgG bBbBBB
9112:rrRrRr GgGGgg bbBbbb
4969:RrrrrR ggGGGg bBbBbB
2244:RRRRRR GGGGGG BBBBBB
4163:rrrrrr gggggg bbbbbb
