id=1, plug=BLACK CIRCLE, leftSocket=YELLOW STAR, rightSocket=RED STAR, data=---------------------
id=2, plug=RED STAR, leftSocket=CYAN CIRCLE, rightSocket=YELLOW TRIANGLE, data=-------1------3------
id=3, plug=YELLOW PENTAGON, leftSocket=YELLOW STAR, rightSocket=WHITE STAR, data=------1------3-------
id=4, plug=CYAN STAR, leftSocket=BLUE SQUARE, rightSocket=BLACK HEXAGON, data=----1------3---------
id=5, plug=BLUE OCTAGON, leftSocket=CYAN STAR, rightSocket=YELLOW CIRCLE, data=---1------3-------2--
id=6, plug=BLACK HEXAGON, leftSocket=YELLOW HEXAGON, rightSocket=BLUE SQUARE, data=-----------------2---
id=7, plug=BLUE PENTAGON, leftSocket=BLUE DIAMOND, rightSocket=YELLOW PENTAGON, data=----1------3--------1
id=8, plug=YELLOW HEXAGON, leftSocket=MAGENTA TRIANGLE, rightSocket=CYAN DIAMOND, data=---1------3--------1-
id=9, plug=YELLOW OCTAGON, leftSocket=MAGENTA CIRCLE, rightSocket=GREEN TRIANGLE, data=----1------3---------
id=10, plug=BLUE SQUARE, leftSocket=MAGENTA CIRCLE, rightSocket=YELLOW PENTAGON, data=---------------------
id=11, plug=YELLOW HEXAGON, leftSocket=WHITE OCTAGON, rightSocket=BLUE OCTAGON, data=-------------------3-
id=12, plug=CYAN CIRCLE, leftSocket=MAGENTA STAR, rightSocket=BLACK PENTAGON, data=----1------3---------
id=13, plug=YELLOW PENTAGON, leftSocket=GREEN DIAMOND, rightSocket=MAGENTA TRIANGLE, data=---------------------
id=14, plug=WHITE HEXAGON, leftSocket=BLUE SQUARE, rightSocket=MAGENTA PENTAGON, data=---------------------
id=15, plug=BLUE DIAMOND, leftSocket=BLUE STAR, rightSocket=RED DIAMOND, data=---1-1----3-3-------1
id=16, plug=MAGENTA CIRCLE, leftSocket=YELLOW OCTAGON, rightSocket=GREEN DIAMOND, data=1-1----3-3----------1
id=17, plug=YELLOW CIRCLE, leftSocket=BLACK HEXAGON, rightSocket=WHITE OCTAGON, data=------1------3-------
